Lens ID,concatenated_column,precision
058-408-157-420-569,"Portable water purifier with ultraviolet light source A portable container is disclosed, provided a means for the purification of a fluid by ultraviolet radiation. The container houses the liquid and mates with the ultraviolet light source, which is powered by a battery attached thereto. Additionally, an ultraviolet light sensor is provided to shut off the ultraviolet light and notify the user when the water has received an adequate dose of ultraviolet radiation.",0
018-347-153-792-368,"Combination trickling filter and overflow tank for secondary treatment of wastewater, and associated method of managing wastewater overflow A method and apparatus for controlling water flow in a wastewater treatment plant is provided. The method comprises the steps of providing a trickling filter effluent water basin having filter media provided over a storage space for water. Water outlet flow from the basin is controlled via a flow weir or other suitable structure, thereby enabling the trickling filter effluent water basin to fill with water and store water when desired. Such storage is particularly useful during wet weather and/or overflow events. A trickling filter effluent basin modified so as to accommodate water storage and methods of modifying existing trickling filter effluent basins are also provided.",1
157-468-505-372-81X,"Water desalination method PCT No. PCT/SU80/00069 Sec. 371 Date May 17, 1981 Sec. 102(e) Date May 8, 1981 PCT Filed May 5, 1980 PCT Pub. No. WO81/00707 PCT Pub. Date Mar. 19, 1981.A method of desalinating water resides in evaporating water from an aqueous salt solution upon contact of the latter with air, the water vapor being subsequently retrieved by condensing. The evaporation of water from the aqueous salt solution through contact thereof with the air is conducted by using two air flows, that is, primary and secondary flows. The primary air flow is supplied to a cooling zone, while the secondary air flow and the aqueous salt solution are delivered to an evaporation zone wherein the secondary flow is moistened by the water evaporating from the aqueous salt solution by virture of the psychrometric temperature difference until the moisture content in the secondary air flow is increased, as compared with the initial moisture content therein, by from 3.5 to 116 g/kg. During the course of absorbing the moisture, the secondary air flow acts to cool the primary air flow passing through the cooling zone. The secondary air flow is obtained by withdrawing between 20 and 90 volume percent from the primary air flow after it has passed through the cooling zone. Condensation of the water vapor is effected by conveying the secondary air flow which has passed through the evaporation zone and the remaining 80 to 10 volume percent of the primary air flow which has passed through the cooling zone to a condensing zone.",1
054-328-923-779-613,"Vacuum valve control device and vacuum valve A vacuum control valve controls the removal of sewage or other liquid removed from a tank by a vacuum discharge pipe. The control valve uses the amount of liquid in the tank, the atmospheric pressure, and the vacuum pressure of the vacuum discharge pipe to open or close a pipe communicating section which attaches the vacuum discharge pipe to a suction pipe disposed within the tank. When the pipe communicating section is opened, the liquid is removed from the tank via the suction pipe and the vacuum discharge pipe. When the tank is emptied, a damping diaphragm allows for decompression of pressure around its peripheral portion to prevent excessive suction. An opening time adjusting valve automatically self-adjusts to control the time period for a single suction activity based on the vacuum pressure inside the vacuum discharge pipe.",1
092-630-263-721-891,"Apparatus for purifying water from organic halides contained therein The invention aims to provide an apparatus for purifying water containing organic halides therein improved so as to substantially achieve perfect removal of organic halides from water which has conventionally been considered to be impossible. The object set forth above is achieved, according to the invention, by an apparatus for purifying water containing organic halides therein characterized in that particles, fibers, nonwoven fabric, porous body or sintered body containing hydroxycarboxylic acid or polymer thereof having a chemical structure expressed by general formula: <IMAGE> where R1-R6 are identical or different and represent hydrogen atom, hydroxyl-, carboxyl-, amino-, cyano- or alkyl-group having 1-5 carbons, p represents a natural number 1-10, and q and r represent an integer 0-10) as a main ingredient is used as organic halide adsorbent; and a residual concentration of organic halides in water can be decreased to the order of ppb.",1
060-530-515-835-379,"Automatic grease interceptor with temperature and grease level monitoring An automatic grease interceptor for separating grease, fats and oils from wastewater is disclosed. The interceptor includes an interceptor chamber having an inlet, an outlet chamber with an outlet and a removable baffle positioned within the interceptor chamber. A grease removal device is attached to the interceptor chamber for removing accumulated grease from the interceptor chamber. A grease level sensor is positioned within the interceptor chamber at a first threshold level, wherein an indication of grease at the first threshold level by the first grease level sensor will activate the grease removal mechanism to thereby automatically remove grease from the interceptor chamber.",0
141-163-155-982-133,"Mobile vehicle sewage removal system A sewage removal system 10 is provided for quickly, securely and sanitarily connecting the onboard holding tank H of a typical recreational vehicle or travel trailer to an in-ground stationary waste disposal site S. The system 10 includes two hoses 20, 21 which may be coupled via a union 50 to provide hoses 20, 21 of greater combined length to reach the site S when located too far for a single hose 20, 21. The hoses 20, 21 include quick connect couplings 30 secured to each end 22. Locking hooks 40 extend from the annular rims 39 of the couplings 30 to provide a means for securely engaging protrusions 56, 66 to create a sealed joint. The system 10 includes two elbow adapters 60 to allow simple connection to an inlet tube T of the stationary waste disposal site S. The first elbow adapter 60 includes a male threaded connector 70 for coupling with a female threaded fitting F of the inlet tube T. A second elbow adapter 60 includes a female threaded connector 80 for connection to a male threaded fitting M of the inlet tube T.",1
194-155-203-916-193,"Pond with filtered water PCT No. PCT/HU81/00013 Sec. 371 Date Dec. 2, 1981 Sec. 102(e) Date Dec. 2, 1981 PCT Filed Apr. 2, 1981 PCT Pub. No. WO81/02905 PCT Pub. Date Oct. 15, 1981.The invention relates to a pond (2) with filtered water having a relatively large and free surface. The pond (2) is laid out along a polluted surface water (1) having a large rate of flow or quantity of water, and a filter dam (3) is built between the polluted surface water (1) and the pond (2) of filtered water. The pond (2) according to the invention can be employed as a water intake for drinking water and/or for water for agriculture and/or for industrial water, and as a recreational area (4,5).",1
007-086-930-689-188,"Independent pressure monitoring switch element A pressure element for monitoring a fluid being applied to the pressure element, wherein the pressure element is configured to close an electrical circuit, as a result of a change in pressure which the fluid exerts on the pressure element, independently of an absolute value of the pressure, where the fluid preferably flows through a pipeline.",1
020-247-999-648-400,"System for monitoring discharges into a waste water collection system A method for monitoring the composition and flow rate of wastes discharged from industrial waste water treatment facilities into a common collection system for eventual processing at central waste water treatment plant (WWTP). The information is transmitted to a remote computer and stored in a database, and is then analyzed to prepare reports of particular interest to the receiving WWTP or treatment facility. The system includes a data collection and sending unit, a remote Internet Server computer with a database capable of receiving and storing the collected information, and a web server and reporting unit to analyze the data, prepare reports, and send out alarms. It is a further intention of this invention to correlate the incoming data from said industrial waste water treatment plants with known flows and compositions at said central WWTP to predict the flow and composition of influx water at the WWTP.",1
186-259-760-318-184,WATER TREATMENT APPARATUS AND METHOD FOR INJECTION WATER FLOODING RECOVERY PROCESSES IN CARBONATE RESERVOIRS,0
114-675-905-251-058,Hydrofluoric acid wastewater treatment method and device The invention provides a hydrofluoric acid wastewater treatment method that achieves efficient recovery of hydrofluoric acid from hydrofluoric acid wastewater and also achieves sufficient reduction in the hydrofluoric acid concentration of the dehydrofluorinated water after treatment. The hydrofluoric acid wastewater treatment method comprises the following steps: a hydrofluoric acid concentration step (S 1 ) comprising concentrating hydrofluoric acid wastewater by evaporation to produce a concentrated hydrofluoric acid water and a hydrofluoric acid-containing vapor; a dissolution step (S 2 ) comprising bringing the hydrofluoric acid-containing vapor obtained in the hydrofluoric acid concentration step (S 1 ) into contact with dissolution water to dissolve the vapor; a neutralization step (S 3 ) comprising bringing the residual hydrofluoric acid-containing vapor left from the dissolution step (S 2 ) into contact with an alkali to produce a neutralized liquid and a dehydrofluorinated vapor; and a condensation step (S 4 ) comprising condensing the dehydrofluorinated vapor obtained in the neutralization step (S 3 ) to produce condensed water.,1
046-678-581-873-668,"Water-storage reservoir A water storage reservoir, prevailingly underground, comprising a first reservoir provided above the ground level and connected to water feeding and distribution means, an underground tank which is also connected to said water feeding means, a second reservoir provided inside said tank and on its bottom, and connected to said tank through opening means, the pressure of the water columns in series in the first reservoir and in the tank being always lower than the water feeding pressure.",1
185-694-618-308-890,"Redundant array water delivery system for water rides A redundant array pumping system and control system is provided for water rides for ensuring continuous and non-disruptive supply of water. The pumping system incorporates a redundant pump and filter array in conjunction with a nozzle system for injecting water onto a ride surface. The nozzle system may incorporate a plurality of redundant or quasi-redundant nozzles. The hydraulic system can include many levels of redundancy as applied to its various components, such as pumps, filters and nozzles. Additionally, the system can be equipped with a plurality of pressure and flow sensors for monitoring and controlling the performance of the pumps, filters and nozzles of the hydraulic system.",1
083-718-180-934-680,"Manifold assembly for dual-walled pipe A manifold for a dual-walled pipe includes a body, a primary conduit extending through the body and fluidly communicating with a primary passage of the dual-walled pipe, and a first socket having an outboard aperture and an inboard aperture fluidly communicating with the primary conduit. An intermediate chamber is disposed between the outboard aperture and the inboard aperture, and a first leakage conduit is formed in the body with a first end fluidly communicating with the intermediate chamber of the first socket and a second end adapted to fluidly communicate with a secondary passage of the pipe.",1
012-669-867-496-580,"Method and device for detecting the location and magnitude of a leak in a pipe measuring aberrant electromagnetic radiation from within a pipe Method and device for detecting the location and magnitude of a leak in a pipe by measuring aberrant electromagnetic radiation from within the pipe. A probe comprising three orthogonally oriented coils coupled to a control unit and an electrode are inserted into a pipeline trailing a metered wire. The coils detect an anomalous current flow when a leak is encountered, enabling the magnitude and location of the leak to be detected.",1
008-195-875-706-318,"Efficient method for localizing leaks in water supply pipe network based on valve operations and online water metering The present disclosure belongs to the field of municipal engineering and urban water supply network, and provides an efficient method for localizing leaks in a districted metering area (DMA) of water supply pipe networks based on valve operations and online water metering, which is implemented in multiple stages to gradually reduce the leaking area. At each stage, the DMA is firstly decomposed into two sub-areas using an optimized valve operation strategy determined by a minimized objective function, wherein a graph theory-based method is used for the solution. Then the sub-areas containing leaks are identified through online water balance analysis based on smart demand meters, thereby reducing the leaking area. The minimum leaking area is identified with the least number of valve operations. Compared with the traditional methods, the method of the present disclosure can obviously improve the efficiency and accuracy of leak localization and is easy to implement.",1
127-716-533-918-084,"Process for drying sewage sludge or sludges of similar consistency PCT No. PCT/DE97/00061 Sec. 371 Date Jul. 9, 1998 Sec. 102(e) Date Jul. 9, 1998 PCT Filed Jan. 16, 1997 PCT Pub. No. WO97/27147 PCT Pub. Date Jul. 31, 1997In a process for drying sewage sludge or sludges of similar consistency, use is made of a device (13) in which vapors arising during contact drying are introduced to at least one compression stage. This stage compresses the vapors to a higher pressure and impurities are separated therefrom. The cleaned and compressed vapors are introduced into the device (13) for contact drying as a heating medium. In this manner, the energy consumed inside the operated installation is used more efficiently to dry the sewage sludge and a considerably improved energy balance is thereby achieved.",1
108-170-177-065-300,System for purifying and degasifying water by reverse osmosis Water to be purified and degassed is passed through a reverse osmosis step which a pure water stream and a high pressure waste water stream are produced. The high pressure waste water is passed through an eductor to produce a vacuum. The pure water stream is passed into a first volume of a degassifier and the vacuum is directed to a second volume of the degassifier. The first and second volume of the degassifier are separated by a hydrophobic membrane.,1
051-368-438-383-903,"Wastewater collection flow management system and techniques Reductions in energy consumption and maintenance requirements for operating a wastewater treatment plant are achieved by controlling the operation of pumps at pump stations along a force main in a systematic fashion. The operation of the pumps is controlled to manage the flow of wastewater along the force main to minimize energy consumption, to eliminate sediment, to manage peak pressures encountered by smaller pumps and to avoid septic conditions.",1
028-958-932-255-241,"Sea water desalination and thermal energy conversion A system for energy conversion includes a first sub-system to be disposed at about a surface of the ocean and a second sub-system to be disposed at an ocean depth. The first sub-system includes an evaporation unit. The system also includes a turbine that is coupled between the first and second sub-systems. The first heat exchange unit is configured to vaporize a working fluid, the vaporized working fluid turns the turbine. The second sub-system is configured to condense the working fluid.",1
060-104-632-977-278,"Submersible mixer support system A submersible mixer support system for use in sewage treatment systems and the like has parallel tubular guide bars supporting at least one mixer stand unit having a slow rotation, large propellered mixer thereon. The mixer stand unit is releasably clamped to the parallel guide bars by clamping units each having a horseshoe-shaped resilient clamping block deformable when a clamping pressure is applied thereto by a preload assembly located remotely therefrom. The mixer support system facilitates removal and servicing of the various subassemblies located thereon.",1
038-749-306-332-82X,"Domestic water valve assembly A domestic water valve assembly protects against water leaks by closing a valve if a leak is detected. A leak is detected when a water flow rate falls below a predetermined low flow rate for a length of time longer than a predetermined time-out period or when the water flow rate exceeds a predetermined high flow rate. The predetermined high flow rate, low flow rate, and time-out period may be changed by an operator. When a leak is detected, a control system activates an electric motor to close a valve, the valve remaining closed until reset by the operator.",1
089-527-590-314-878,"Desalination plant for salt water using solar energy The present invention relates to water treatment using solar energy. The desalination plant includes an evaporator-desalter communicating with an intake system for water to be desalinated and a vapour and condensate discharge system. The evaporator is essentially at least a portion of a water pool wherein the density of water is higher than that of the water being desalinated, and mounted above the water pool are atomizers and branch pipes of the vapour and condensate discharge system. The atomizers and the branch pipes are provided with a collapsible roof. The surface of the water pool of the evaporator is covered with a film having floating elements shaped as balls. The invention can be used for water desalination in droughty and waterless coastal areas nearby the seas and oceans.",1
150-759-236-045-209,"Reactor piping with pump column A piping and flow control system for a wastewater reactor having a reaction vessel includes an influent distribution and sludge withdrawal conduit located near the bottom of the reactor, an aeration device located within the reactor, a treated effluent decanting system and an automatic control mechanism including a liquid level sensor. The influent distribution and sludge withdrawal conduit along with the aeration device are selectively flow connected with a pumping mechanism by a piping manifold which is also selectively connected to a source for influent wastewater to be treated by the reactor and sludge disposal. The pumping mechanism is located in a pump column within the vessel. The manifold includes a series of control valves which may be selectively opened or closed to allow a single pumping mechanism; to input wastewater near the bottom of the reactor; or to withdraw concentrated sludge from the bottom of the reactor and dispose of the sludge to another location; or to withdraw fluid from the reactor through the influent distribution and sludge withdrawal conduit during agitation of the reactor and to inject the fluid into the aeration device with or without new wastewater; or to draw fluid backwards through the aeration device so as to clean nozzles or outlets associated therewith and to return the fluid to the reactor.",1
105-283-791-886-557,"Method and an apparatus for evaluating a condition of a water purification system A method and apparatus for evaluating a condition of a water purification system (40, 110) comprising a water purification apparatus (110) arranged to output purified water through an outlet (128) and through at least one sterilizing grade filter (70a, 70b) of a line set (40) fluidly connected to the outlet (128), the method comprises: monitoring a flow rate (S1) correlated with the flow rate of the purified water flowing through the at least one sterilizing grade filter (70a, 70b); monitoring a pressure (S2) correlated with the pressure of the purified water flowing to the at least one sterilizing grade filter (70a, 70b); and evaluating (S3) a condition of the water purification system based on a relationship between the monitored flow rate and the monitored pressure.",1
191-658-693-388-64X,"Wastewater treatment system with membrane separators and provision for storm flow conditions In a wastewater treatment system and process utilizing membrane bioreactors (MBRs), multiple, parallel series of tanks or stages each include, an MBR stage. Under conditions of normal flow volume into the system, influent passes through several parallel series of stages or process lines, which might be, for example, an anoxic stage, an aeration stage and an MBR stage. From the MBR stages a portion of M.L.S.S. is cycled through one or more thickening MBRs of similar process lines, for further thickening and further processing and digesting of the sludge, while a majority portion of the M.L.S.S. is recycled back into the main process lines. During peak flow conditions, such as storm conditions in a combined storm water/wastewater system, all of the series of stages with their thickening MBRs are operated in parallel to accept the peak flow, which is more than twice normal flow. M.L.S.S. is recycled from all MBR stages to the upstream end of each of all the parallel process lines, mixing with influent wastewater, and the last one or several process lines no longer act to digest the sludge. Another advantage is that with the thickened sludge in the last process line of basins, which ordinally act to digest the sludge, there is always sufficient biomass in the system to handle peak flow, the biomass being available if needed for a sudden heavy flow or an event that might bring a toxic condition into the main basins.",1
184-385-693-931-732,"Automated system for draining, cleaning and sanitizing of portable toilet sewage holding tank used in recreational vehicles such as campers, caravans, boats etc Machine for emptying, washing and sanitizing of the portable tanks used in the toilets of recreational vehicles (for example, campers, motor homes, caravans and boats), characterized by a structure widi sliding door, in which the tank is inserted; the machine comprises sensors capable of detecting the type of the tank inserted. The washing procedure starts by rotating the pour-out spout, unscrewing the lid and lifting the tank into a vertical position, thus emptying it into the drainage system. A coupling mask then automatically slides open the lid and opens all the valves and sealing plugs. A lance then injects water and detergent at high pressure inside the tank, thus washing inside. The machine then washes the outside of the tank and of the cap of the same, filling it widi sanitizing liquids, drying and re-delivering it to the user through its completely automated, electronically-controlled method thus guaranteeing hygiene and safety. The machine provides for direct connection to the sewerage system or to a collecting tank and backup systems for electricity and water supplies.",0
123-264-106-961-619,Sand filter treatment facility and method for removing toxic metals from storm water A treatment facility for removing toxic metals from storm water runoff to provide clean water. The treatment facility includes a pretreatment chamber for removing large toxic particles from the storm water runoff and absorbent chamber for removing fine particles of toxic metals from the storm water runoff. The absorption chamber has an absorption bed of three absorptive materials for removing the fine particles of toxic metals from the storm water runoff.,1
004-720-153-901-362,"Water bag pressure detection device, water bag inflow control device and water bag type water purifier A water bag pressure detection device, a water bag inflow control device and a water bag type water purifier are provided. The water bag pressure detection device includes: a base seat defining an airtight cavity therein, and having an upper end provided with a mounting opening; a pressure sensor module having at least a lower portion disposed in the airtight cavity and connected with a circumferential edge of the mounting opening in a sealing manner, an inductive head of the pressure sensor module being configured to abut against a lower portion of the water bag; and a ventilation member defining a ventilation passage therein and disposed to the base seat, the ventilation passage being provided with a balancing seal member configured to move in the ventilation passage along with variations of pressure in the airtight cavity and outside pressure.",1
024-789-303-091-037,"Water saving device A water saving device is disclosed, which comprises a base having a water flow channel, a throttle ring and a support seat made of an elastic material, and a capacity space is formed in the base, and the support seat is disposed in the capacity space. An annular channel is formed between the support seat and the base. The water channel is in communication with the annular channel. The throttle ring is disposed in the annular channel. When the water pressure is increased to a certain extent, the throttle ring is deformed, and the cross-sectional area of the water flow channel is reduced. The water saving device can effectively prevent the throttle ring from shifting or falling off, and it also has good structural strength and stability that is not easily deformed or broken by external force.",1
045-276-714-861-057,"Wastewater treatment device, specially for rainwater",1
085-021-375-196-975,"Process for treating sewage sludge A method of treating sewage sludge is provided, in which the sludge is mixed with an alkaline material in such a way as to provide intimate surface contact that enables the alkaline material to permeate even small particles of the sludge, and to deliver the resultant product in a granular, scatterable form. The sludge and alkaline material are delivered to a mixing chamber and are confronted therein with a screw type mixer having generally helical flighting carried by a shaft, with the mixer being rotatably driven in generally horizontal arrangement to convey the mixture toward an outlet, with the mixture that is being mixed being maintained at a level in the mixer such that a spiral rolling action is imparted to the sludge and alkaline additive by the flighting engaging particles of sludge and rolling those particles up over the rotating shaft of the screw mixer. The rate of addition of sludge and additive into the mixer and/or the speed to rotation of the rotating screw in the mixer can be automatically adjusted as a function of the level of sludge being mixed in the mixer. The level of sludge may be reflected by various types of sensing means, such as torque load on the motor driving the screw shaft, visual detection devices, limit switch devices, etc. Preferably, two such helical screw mixers are provided working in opposition to each other.",1
125-780-641-265-66X,"Water quality management system and method A water quality management system and method that controls the exchange of water between two bodies of water (e.g., estuary and ocean) separated by at least one land barrier. The system consists of a series of water exchange units that are disposed in the estuary and knowledge-linked into a water quality management system that is remotely controlled from a central location. Each water exchange unit may comprise a conduit extending through the land barrier having a terminal end on the ocean side and a terminal end on the estuary side. The exchange of water between the ocean and estuary through the conduit may be effected using reversible pumps connected to the terminal end of the conduit on the estuary side. The pumps are preferably controlled from a remote location based on feed back data received from sensors located both in the estuary and ocean. The sensor data, which may include data on fresh water falls to the estuary, rain fall, tide cycles, salinity, temperature and turbidity are processed to control the pumps to maintain the water content in the estuary at desired levels for marine life to flourish.",1
164-318-458-725-247,Apparatus for treating wastewater with oxygen A process and apparatus for treating wastewater with oxygen in which the wastewater is circulated on a horizontal course and is exposed to the introduction of oxygen or oxygen-enriched air in one or several sections of its course whereas it is exposed to the atmosphere on the remainder of its course. Oxygen of a higher concentration than atmospheric oxygen is contacted at least intermittently with the water surface and introduced into the wastewater through agitation of the water surface. At least a part of the total volume of the wastewater is treated by carrying out alternately at least two of the following three modes of operation: (a) surface aeration of the wastewater using atmospheric air; (b) oxygenation while maintaining atmospheric pressure above the wastewater; and (c) oxygenation while maintaining positive pressure above the wastewater with the operating modes alternating with each other in response to variations in the volume and/or character of the wastewater being treated.,1
092-575-913-147-512,System and method for improved treatment of wastewater A method and system for treating sludge in a wastewater facility involving a novel concentration step optimises the energy balance and sludge solids mass reduction incurred from concentration and low pressure homogenization of the sludge.,1
082-649-978-645-068,"System and method for preventing ammonia rebound in a cold-weather bioreactor A wastewater treatment system and method are provided for preventing or reducing ammonia rebound during periods of warming weather. The system may be operated in first and second modes of operation. During the first mode of operation, wastewater may pass directly from a reactor to a partial mix cell and then to a polishing cell. During the second mode of operation, which typically occurs during a springtime warmup period, wastewater is retained within the partial mix cell until sludge and biosolids therein are substantially digested, while wastewater exiting the reactor is temporarily directed to the polishing cell, thereby bypassing the partial mix cell. Upon digestion and stabilization of the sludge and biosolids in the partial mix cell, the system may return to the first mode of operation. Sludge and biosolids may optionally be removed from the reactor during the first and second modes of operation.",1
116-995-179-547-481,"Pretreatment of high solid microbial sludges A process and apparatus for pretreating microbial sludges in order to enhance secondary anaerobic digestion. The pretreatment process involves disrupting the cellular integrity of municipal sewage sludge through a combination of thermal, explosive decompression and shear forces. The sludge is pressurized and pumped to a pretreatment reactor where it is mixed with steam to heat and soften the sludge. The pressure of the sludge is suddenly reduced and explosive decompression forces are imparted which partially disrupt the cellular integrity of the sludge. Shear forces are then applied to the sludge to further disrupt the cellular integrity of the sludge. Disrupting cellular integrity releases both soluble and insoluble organic constituents and thereby renders municipal sewage sludge more amenable to secondary anaerobic digestion.",1
187-471-945-811-471,"Method of draining water The present invention relates to a method of draining water comprising the steps of:providing a water drainage device, wherein the water drainage device comprises man-made vitreous fibres (MMVF) bonded with a cured aqueous binder composition;positioning the water drainage device in contact with the ground, wherein the water drainage device absorbs water and releases water to a recipient wherein the aqueous binder composition prior to curing comprises;a component (i) in form of one or more oxidized lignins;a component (ii) in form of one or more cross-linkers.",1
121-629-751-125-513,"Automatic back water valve system A valve body is formed in two half sections which are secured together to define a drain line passage and to confine therebetween a thin gate valve blade for movement between a lower open position and an upper closed position. An actuator includes a flexible bellows sealed to the valve body above the passage and a top plate connected by a rod to the valve blade. The valve body and the bellows define an expandable fluid chamber connected by a bottom port or line to the drain line. The valve body is installed within a sewage drain line extending under a floor. In the event sewage water backs up within the drain line, air within the fluid chamber is compressed to expand the bellows upwardly for closing the valve. When the sewage water flows from the drain line, the air pressure reduces, and the bellows collapses downwardly due to the weight of the top plate and automatically returns the valve blade downwardly to its open position.",1
022-783-338-050-454,"APPARATUS AND METHOD FOR HYDROLYSIS OF CYANIDE-CONTAINING LIQUIDS The invention provides an apparatus for continuous thermal hydrolysis of cyanide ions and cyanide-containing ions contained in a liquid, comprising an elongated tubular reactor of a size selected to enable the liquid to be retained in the reactor for a predetermined reaction time, a conduit for supplying the liquid to the reactor, means for adding a base to the liquid prior to heating, and means, associated with the conduit, for instantaneously and uniformly heating the liquid to a preselected temperature. The apparatus preferably uses high pressure steam to heat the liquid and appears much less subject to fouling by scale. The invention also provides a continuous process for hydrolyzing a cyanide-containing liquid stream, comprising adjusting the pH of the liquid stream to render the liquid stream strongly basic; rapidly and uniformly heating the liquid stream to a predetermined elevated temperature; feeding the liquid to an elongated substantially vertical tubular reactor; maintaining the liquid in the reactor for a predetermined time to permit substantially complete degradation of cyanide ions and cyanide-containing ions in the liquid. The cyanide-containing liquid may preferably be uniformly and rapidly heated to the desired temperature by injecting steam under pressure into the liquid.",0
169-261-898-600-445,"Water/air pumping system The present disclosure is directed to a water/air pumping system comprising essentially a substantially flat primary reservoir, a header tank and a pump. At least one reciprocating piston is powered through the tank. Eccentric drive cams are directly connected to the motor driven shaft and are connected to drive the pistons to pump water or air from the reservoir into the tank. A water and or air supply connection is horizontally connected to the reservoir and is provided with a water/air control valve proximate the reservoir. A tank discharge connector is connected to a water or air service system through the side wall of the tank externally thereof, above the motor driven shaft and its direct drive connection with the pistons for lubricating the driving mechanism. An air inlet valve is situated in the external wall of the primary reservoir beneath the piston intake so that the pump may pump either air or water.",1
187-501-718-324-520,"System for processing water and generating electricity, rankine A distilling device having a vapor compression distiller. The vapor compression distiller can include a reservoir for receiving liquid for distillation. Evaporation surfaces can receive the liquid and evaporate the liquid into evaporated vapor for subsequent condensing. Condensing surfaces can receive the vapor and condense the vapor into distillate. A compressor can deliver the vapor to the condensing surfaces. The distilling device can also include an engine that produces heat. A boiler can be heated by the heat from the engine for producing a working vapor. A vapor turbine can be driven by the working vapor. The vapor turbine can be mechanically coupled to the compressor for mechanically driving the compressor, thereby reducing electrical power needs of the vapor compression distiller.",0
141-091-958-238-682,"Hollow fiber type semipermeable membrane, method for manufacturing the same, module, and water treatment method A hollow fiber type semipermeable membrane which achieves both water permeability and selectivity in high level and performs efficient treatment using small membrane area utilizing the concentration difference from high concentration liquid having high osmotic pressure. The hollow fiber type semipermeable membrane is characterized in that, when an aqueous solution of 25° C. having NaCl concentration of 35 g/L and pressure of 1.0 MPa is flown into an outer side of the hollow fiber type semipermeable membrane having length of about 70 cm while freshwater of 25° C. having NaCl concentration of 0 g/L is flown into an inner side of one open end of the hollow fiber type semipermeable membrane and discharged from another open end at 10 kPa or less, the permeation flow rate is 30 to 70 L/m2/day. An inner diameter thereof is 50 to 200 μm; and the hollow ratio thereof is 24 to 42%.",1
024-561-376-164-347,SLUDGE THICKENING APPARATUS The following disclosure teaches means for thickening primary and secondary sewage sludge. The disclosed apparatus comprises a tank having upper and lower feedwells disposed therein. Primary sludge is introduced into the lower feedwell and flows into the lower part of the tank to thicken therein. Secondary sludge is aerated under super atmospheric pressure and introduced into the upper feedwell so that it flows therefrom and thickens in the uppper part of the tank by flotation type thickening.,1
145-770-811-856-822,"Water treatment compositions Advantageous water treatment compositions are provided, which remain stable prior to their intended use in an aqueous environment. The compositions comprise sodium chlorite and an acid activator. Preferred as an acid activator is citric acid, anhydrous. The composition may also comprise, if desired, activated carbon, which may optionally be ion-impregnated. A method of treating water utilizing the compositions is disclosed, and water treatment kits are also provided.",1
019-224-344-047-690,Process for conditioning recirculated evaporative cooling water A process for conditioning recirculated evaporative cooling water in a cooling water system. The process reduces the amount of make-up water required during the operation of this system as compared to conventional water treatment systems. The process includes the steps of determining the pH of saturation. A strong cation exchange media is used in a controlled sidestream and operated so that the pH of the recirculated cooling water is within about a plus or minus 0.4 of the pH of saturation. The system avoids the necessity of storing acid at the water treatment site and also significantly reduces the amount of make-up water required.,1
161-409-168-100-083,"Water pressure booster system A plurality of relatively large, high capacity, high head, pumps disposed in parallel in the basement of a building provide water under pressure throughout the water pipes in a high rise building. Pressurestatic switch means controls the operation of these main pumps. A small, low capacity, high head auxiliary pump of an auxiliary booster system in the upper regions of the building supplies water to an accumulator tank in the auxiliary system from the water pipes so that during periods of low demand, such as at night and on weekends, the operation of the main pumps will be minimized. A control assembly including a timer and pressurestatic limit switches in the auxiliary control system dictates when the auxiliary pump is actuated and shut off and when the accumulator tank is opened to the water pipes.",1
063-970-509-783-013,Method of monitoring pH in caustic liquor wet oxidation A process is described for monitoring pH in caustic liquor wet oxidation systems. An offgas carbon dioxide baseline value is established for the operating system where oxidized liquid effluent is at pH 7 or above. Offgas carbon dioxide content deviating by a selected proportion above the baseline vale indicates a drop in liquid effluent pH to 7 or less. Sufficient alkalinity is added to the raw wastewater to bring the effluent pH to 7 or above and prevent excessive corrosion to the materials of construction of the nickel-based or ferrous-based alloy wet oxidation system.,0
165-218-938-786-020,"In-ground pipeline monitoring A method for monitoring an in-ground pipeline by detecting an occurrence of a contact with an in-ground pipeline via an acoustic sensor employing a first selected detection parameter and a second sensor employing a second selected detection parameter, which is different from the first selected detection parameter. The locations of the acoustic sensor and the second sensor are known and the input signals from the sensors arrive at a processor at different times and at known respective speeds such as to permit a determination of the point of contact with the in-ground pipeline.",1
114-550-191-317-510,"Method for removing toxic metals from agricultural drain water A method and system for removing toxic substances such as selenium and molybdenum from agricultural irrigation water achieves nearly 100% removal of the toxic substance economically, by a chemical reduction process. The process is particulary efficacious for removing naturally occurring selenium and molybdenum from irrigation water which has seeped through the ground and taken compounds of these metals into solution. Preferably, the drain tile water solution is first concentrated, to about 30% dissolved solids. This may be economically accomplished by on site evaporation in an open pond which is impermeable to seepage. Next the concentrated brine solution is heated, preferably to about 150 DEG F., and a reducing agent such as finely powdered iron is added to bring, for example, the selenium down from a +6 valence to +4 and lower valences. Wettable sulfur is added to the slurry to greatly improve the effectiveness of the iron in reducing the solution. The slurry is constantly agitated. After a reaction time which may be about 15 minutes, an oxidizing agent is added, with the temperature of the slurry then raised to at least about 180 DEG , with continued agitation. This causes the selenium and/or molybdenum to form a separable precipitate, and the precipitate is separated from the remainder of the slurry. In a preferred embodiment the iron is recycled by processing it through a separator.",1
