pat_id,title,total_sentences,key_verbs,key_nouns,technical_terms,causal_words_and_terms,failure_terms,variable_terms,primary_failure_pathways,verb_action_pathways
JP-7345162-B2,Apartment housing water leakage inspection method,14,"make, detect, base, limit, close, check, use, test, measure, specify, become, determine, discover, move, accord, minimize, depend, contribute, simplify, characterize, connect, provide, inspect, calculate, enjoy, introduce, supply, divide, comprise, utilize, monitor, perform, flow, predetermine, confirm, carry","need, water, embodiment, vicinity, complex, end, testing, valve, tap, facility, waterworks, unit, cost, diameter, leakage, needle, test, profit, inspection, housing, order, monitoring, view, meter, leak, type, route, time, reduction, location, degree, pressure, charge, year, area, method, connection, increase, amount, stop, calculation, bureau, example, return, house, equipment, period, supply, detection, absence, minute, operation, decrease, pilot, apartment, rate, system, dwelling, faucet, invention, pipe, tank, object, impact, presence","water meter, valve, tank","becomes, impact on, while, common, because, contributes to, based on, increase, used to, may, determine, monitoring, contributing to","leak, leaks, leakage",,"valve ➔ [monitoring] ➔ leakage (x2), tank ➔ [used to] ➔ leaks (x1), tank ➔ [common] ➔ leaks (x1)","[CHECK] ➔ tank ➔ leakage (x2), [CHECK] ➔ valve ➔ leakage (x2), [CLOSE] ➔ tank ➔ leakage (x2)"
JP-7345224-B1,Rainwater storage device and its construction method,22,"mix, open, make, enter, concentrate, deposit, base, bury, disperse, accumulate, create, construct, retain, form, exceed, use, show, become, discharge, accord, know, describe, arrange, contain, connect, pass, provide, prevent, increase, slant, fix, reduce, install, flow, instal, store, carry, cover","line, surface, wall, water, embodiment, pump, path, aggregate, suction, drain, inlets, background, welding, height, way, side, document, building, resin, joint, art, opening, row, measure, cement, inlet, depth, device, view, drawing, time, rainwater, plurality, reference, patent, addition, lid, length, bottom, movement, periphery, area, storage, sludge, amount, earth, steel, fig, garbage, density, site, ground, direction, role, backflow, outside, plan, shape, drainage, flow, difference, invention, pipe, tank, material","drainage pump, water intake, joint, retaining wall, pump, inlet, tank, drain","thus, becomes, therefore, discharged to, because, shape, based on, used to, may, carry, exceeding, to prevent, accumulate, thereby",,"rainwater, water level, lid",No sentence-level triplet found,No verb-component-failure triplet found
JP-7345713-B1,Resource processing equipment that recovers heavy metals from complexed heavy metal wastewater,8,"collect, include, detect, support, say, distribute, stretch, accumulate, reach, drive, spray, form, avoid, suck, improve, communicate, fill, compress, rotate, treat, bend, contain, connect, provide, increase, purify, inject, mention, comprise, allow, face, utilize, hinge, react, adjust, fit, control, oxidize, generate, activate","wall, oxidizer, pump, attachment, body, reaction, transition, collection, frame, recovery, radical, position, adjustment, content, filler, mixing, motor, rack, base, thoroughness, acid, shaft, sleeve, hole, liquid, time, plurality, treatment, anode, state, direction, part, rate, fe, tank, wastewater, quality, destruction, tube, suction, spray, side, concentration, standard, ni, device, plate, agent, installation, particle, bag, controller, water, end, rocking, drive, cathode, oxidation, port, decomplexation, communication, ion, metal, range, angle, connection, mounting, oxidant, detection, chamber, persulfate, component, ring, firing, mn, rod, rotation, processing","chamber, tank, pump","activated by, while, drives, increase, via",oxidation,precipitation,"chamber ➔ [while] ➔ oxidation (x1), chamber ➔ [increase] ➔ oxidation (x1), pump ➔ [while] ➔ oxidation (x1)","[ADJUST] ➔ chamber ➔ oxidation (x1), [ADJUST] ➔ pump ➔ oxidation (x1), [ALLOW] ➔ chamber ➔ oxidation (x1)"
JP-7345917-B1,"Biological treatment system, biological treatment device, water purification system, biological treatment method, and water purification method",85,"obtain, make, change, lower, include, secure, predict, select, base, surround, equalize, fluctuate, notify, place, set, prefer, inhibit, exceed, continue, use, separate, desire, fall, train, circulate, show, become, determine, issue, regard, affect, heat, cool, convert, treat, refer, accord, maximize, input, know, depend, learn, cause, contain, raise, describe, return, provide, increase, compare, decolorize, calculate, purify, disinfect, miniaturize, transmit, supply, maintain, reduce, comprise, insulate, lead, decrease, promote, monitor, perform, inputte, adjust, predetermine, instal, control, store, generate, cover, mean, subject","trend, frequency, process, contact, adjusting, mixture, thermistor, use, heating, function, order, result, portion, reaction, pattern, addition, amount, diffuser, supply, advance, efficiency, index, adjustment, system, condition, section, lag, heater, tn, surface, region, lighting, apparatus, limit, measurement, fluctuation, environment, ability, monitoring, purification, radiation, heat, information, time, output, plurality, degree, air, treatment, state, part, cooling, deviation, quantity, rate, datum, thermograph, usage, tank, object, material, transmission, bathtub, mechanism, case, command, unit, concentration, disclosure, liter, matter, device, input, hour, value, week, length, current, periphery, method, capacity, sensor, period, target, decrease, accuracy, combination, stirring, influence, controller, model, width, change, water, means, viewpoint, setting, signal, winter, thermometer, place, drive, summer, activity, aeration, nitrification, shower, temperature, microorganism, range, bottom, operator, example, fig, regulator, equipment, component, timing, department, one, control, mean, step","regulator, sensor, diffuser, tank","reduces, obtained from, becomes, therefore, as a result, leading to, increases, based on, determines, may, increase, used to, affected, due to, monitoring, important, influence, be subjected",,temperature,No sentence-level triplet found,No verb-component-failure triplet found
JP-7348988-B1,Electrolyzed water generation equipment and water treatment equipment,23,"operate, change, include, detect, base, exceed, use, correspond, estimate, function, measure, call, show, become, determine, input, dissolve, accord, output, learn, increase, provide, supply, prepare, reduce, comprise, perform, flow, adjust, electrolyze, control, generate, configure","hand, electrolysis, water, signal, hydrogen, valve, administrator, command, cathode, wear, unit, side, cell, hemodialysis, relationship, oxygen, lcd, proportion, ph, user, body, generating, device, ion, hydroxide, dialysate, result, panel, input, time, threshold, value, output, osmosis, channel, degree, current, generator, membrane, touch, amount, sensor, treatment, example, warning, gas, equipment, chamber, supply, operation, claim, adjustment, feeding, rate, flow, power, invention, control, section, generation","sensor, chamber, valve","corresponding to, generated by, becomes, therefore, as a result, increases, based on, determines, may, configured to","wear, electrolysis",hand,"sensor ➔ [determines] ➔ electrolysis (x6), sensor ➔ [increases] ➔ electrolysis (x4), chamber ➔ [generated by] ➔ electrolysis (x1)","[ACCORD] ➔ sensor ➔ electrolysis (x6), [DETERMINE] ➔ sensor ➔ electrolysis (x6), [ELECTROLYZE] ➔ sensor ➔ electrolysis (x6)"
JP-7349622-B2,Water rate management system,61,"operate, integrate, include, base, drain, accumulate, display, cumulative, spray, construct, require, form, check, use, evaporate, read, consider, measure, consume, receive, discharge, determine, cool, follow, output, accord, know, subtract, cause, configure, contain, exclude, provide, connect, pass, stop, calculate, transmit, identify, reduce, comprise, allow, flow, save, instal, store, equip, generate, humidify, send, mean, record","need, ip, volume, drain, router, discharge, catchment, rainwater, management, amount, cloud, supply, ratio, system, flow, computer, activation, sewerage, consumption, waste, bathroom, tap, cost, mist, meter, time, sewer, output, degree, lid, charge, tower, work, smartphone, server, cooling, rate, box, usage, pipe, object, wastewater, feature, transmission, intervention, premise, basin, display, unit, side, building, user, gutter, internet, construction, device, factory, benefit, humidifier, touch, generator, flowmeter, service, calculation, stop, percentage, wireless, sewage, claim, drainage, invention, effort, lan, water, means, kitchen, signal, manhole, facility, communication, panel, runoff, storage, example, equipment, toilet, operation, lead, dryer, control, mean","water meter, ultrasonic flowmeter, electromagnetic flowmeter, flow meter, drain, basin, manhole, meter box","while, therefore, discharged to, via, based on, configured to, requiring, receive, determine, causes, identify",checking,"rainwater, runoff, lid","flow meter ➔ [while] ➔ checking (x3), flow meter ➔ [discharged to] ➔ checking (x3)","[CALCULATE] ➔ flow meter ➔ checking (x3), [CHECK] ➔ flow meter ➔ checking (x3), [CONSUME] ➔ flow meter ➔ checking (x3)"
JP-7350621-B2,"Turbidity measuring device, turbidity measuring method, water purification monitoring system",5,"use, emit, irradiate, decrease, measure, contain, coagulate, precipitate, assume, provide, increase, instal, store, determine, refer","hand, water, front, means, sample, sand, cell, flocculant, settling, device, type, chloride, addition, contaminant, soil, chlorine, light, amount, example, drug, supply, shielding, position, pac, flow, axis, particle, tank, fluorescence, polyaluminum, turbidity, outlet","tank, basin","increase, used to, may, due to, via","contaminants, shielding",hand,No sentence-level triplet found,No verb-component-failure triplet found
JP-7361589-B2,"Sterilization equipment management device, sterilization equipment, water heater, sterilization equipment management method and program",34,"mix, open, operate, update, include, detect, select, base, acquire, set, drive, close, exceed, suck, use, correspond, consider, desire, press, measure, receive, discharge, determine, input, convert, heat, proceed, block, total, light, cause, describe, return, supply, reduce, warm, lead, allow, flow, adjust, store, generate, send","no, hand, water, bathtub, change, heater, start, setting, step, pump, space, end, controller, signal, valve, drain, process, ultraviolet, limit, tap, command, unit, side, closing, opening, clock, irradiator, element, updating, device, temperature, sterilization, result, heat, time, value, management, degree, addition, pressure, selection, ray, branch, storage, sensor, supply, circulation, day, button, operation, operating, ratio, tl, solenoid, counting, rate, flow, datum, power, timer, tank, pipe, mode, date, section, et, instruction, mixing","pump, sensor, valve, drain, tank, solenoid valve","reduces, corresponding to, while, drives, as a result, via, based on, determines, may, causes, thereby",,"hand, temperature",No sentence-level triplet found,No verb-component-failure triplet found
JP-7363875-B2,Water-based metal corrosion protection treatment method,30,"obtain, mix, make, need, demonstrate, transfer, include, strengthen, exhibit, base, see, disperse, prefer, conduct, think, use, have, circulate, discover, determine, find, combine, cool, follow, gel, decide, contain, return, provide, prevent, investigate, calculate, achieve, evaluate, supply, maintain, reduce, allow, occur, come, instal, confirm, configure, mean, add, subject","hand, transfer, amp, protection, pump, phosphorus, contact, use, test, order, result, carbonate, addition, technique, amount, steel, sulfone, supply, circulation, corrosion, ratio, system, flow, calcium, condition, content, path, monomer, sample, acid, formula, chemical, piece, mmol, maleic, polymer, heat, time, liquid, degree, tower, weight, treatment, state, tin, drug, inhibitor, part, cooling, rate, anticorrosion, waterway, blowing, zinc, embodiment, medium, kit, aspect, group, compound, loss, inventor, carbon, type, agent, acrylic, exchanger, aa, method, copolymer, study, coexistence, combination, precipitation, pit, water, means, injection, characteristic, place, watering, prevention, metal, meth, ingredient, example, container, component, operation, hardness, term, difference, effect, member","heat exchanger, pump","effect of, therefore, as a result of, common, as a result, based on, may, configured to, used to, due to, via, to prevent, thereby","pit, did, corrosion, add","precipitation, hand, temperature","pump ➔ [may] ➔ pit (x1), heat exchanger ➔ [may] ➔ pit (x1), pump ➔ [via] ➔ pit (x1)","[COOL] ➔ pump ➔ pit (x2), [COOL] ➔ heat exchanger ➔ pit (x2), [ADD] ➔ pump ➔ pit (x1)"
JP-7364451-B2,Water treatment equipment and water treatment equipment operation management method,74,"open, lower, set, remove, use, separate, measure, finish, regulate, determine, result, substitute, depend, know, describe, realize, supply, cancel, flow, adjust, instal, configure, correlate, make, give, replace, detect, base, limit, reach, require, close, damage, precipitate, specify, contain, provide, mention, reduce, comprise, allow, absorb, occur, pressurize, consider, operate, concentrate, note, interfere, show, illustrate, convert, leak, dissolve, treat, accord, connect, increase, calculate, stabilize, clog, suppress, compensate, decrease, perform, permeate, indicate, drop, obtain, keep, change, include, exceed, take, consume, become, multiply, refer, affect, tend, cause, raise, control, deteriorate, activate, mean","hand, perspective, pump, process, determination, inverter, opening, use, theory, problem, order, result, product, carbonate, addition, solubility, silica, experiment, amount, resistance, recovery, stage, safety, size, ro, supply, filtration, hunting, flux, advance, ratio, index, adjustment, flow, calcium, condition, section, response, surface, region, fouling, waste, permeation, resolution, limit, formula, cost, environment, ability, energy, correction, meter, time, threshold, possibility, mg, degree, nf, pressure, factor, reflux, membrane, consideration, coefficient, treatment, langelier, rate, tank, wastewater, quality, scaling, mechanism, embodiment, constraint, case, valve, unit, side, concentration, resin, loss, reverse, inventor, device, carbon, value, reference, chlorine, equation, flowmeter, method, increase, capacity, sensor, calculation, claim, target, decrease, scale, filter, drainage, installation, invention, precipitation, combination, line, viscosity, correlation, conversion, water, means, viewpoint, thermometer, conservation, closing, limitation, ph, ion, temperature, sum, saturation, speed, range, impurity, balance, exchange, purpose, removal, electrodeionization, notification, example, trouble, equipment, detection, yield, occurrence, term, difference, control, rotation, design, mean, saving","regulating valve, control valve, flow meter, pump, sensor, valve, tank, dosing pump, drainage line","reduces, becomes, determines, configured to, due to, remove, correlated with, thereby, precipitates, increases, may, result in, affect, factor, as a result, based on, increase, occurrence, therefore, because","leaks, fouling, scaling, leak, leakage","hand, temperature, precipitation","valve ➔ [increase] ➔ fouling (x1), valve ➔ [increase] ➔ scaling (x1), valve ➔ [may] ➔ fouling (x1)","[SPECIFY] ➔ valve ➔ scaling (x2), [CLOG] ➔ valve ➔ fouling (x1), [CLOG] ➔ valve ➔ scaling (x1)"
JP-7368657-B1,Acidic hypochlorous acid water production equipment,21,"mix, open, operate, transfer, produce, recover, include, base, regenerate, construct, close, dilute, feed, continue, use, note, have, desire, fill, show, receive, discharge, determine, illustrate, attach, force, run, treat, accord, apply, exchange, characterize, connect, provide, prevent, transmit, supply, do, comprise, allow, switch, flow, control, store, equip, generate, send, join","program, transfer, regeneration, cock, contact, eb, production, order, ea, on, amount, recovery, supply, diagram, ratio, flow, infection, path, hypochlorite, waste, manner, middle, sodium, apparatus, acid, chemical, malfunction, fg, manufacturing, meter, liquid, time, possibility, air, pc, solution, state, solenoid, description, relay, pipe, tank, material, column, mechanism, embodiment, aspect, valve, case, resin, virus, terminal, device, wiring, type, fa, chlorine, branch, piping, plc, invention, software, line, water, break, signal, hydrogen, nc, closing, washing, ph, ion, panel, exchange, purpose, storage, example, gas, detection, cation, control, summary","valve, tank, solenoid valve","while, therefore, based on, determines, prevented from, may, break, receive, determine, due to, via, to prevent",,,No sentence-level triplet found,No verb-component-failure triplet found
JP-7374400-B1,Electrodeionized water production equipment and pure water production method,47,"obtain, line, operate, mix, make, produce, need, lower, include, locate, concentrate, base, place, set, remove, create, vary, form, propose, exceed, take, use, note, correspond, stack, separate, have, fill, consider, show, become, determine, refer, move, treat, accord, tend, apply, describe, contain, arrange, cause, deionize, exclude, pass, increase, prevent, provide, achieve, state, mention, supply, divide, maintain, dispose, reduce, suppress, partition, pack, decrease, capture, perform, flow, constitute, interpose, permeate, occur, deteriorate, generate, configure, serve","need, hand, molecule, start, vicinity, volume, mixture, opening, dc, body, order, result, carbonate, dioxide, performance, frame, silica, amount, resistance, size, hco, supply, efficiency, position, ratio, aem, flow, edi, mixing, bed, region, division, mm, manner, sodium, bicarbonate, apparatus, na, acid, form, document, ability, stack, cm, resistivity, time, layer, plurality, mg, formation, membrane, area, treatment, number, anode, state, direction, rate, thickness, object, quality, mechanism, embodiment, manufacturability, unit, side, anion, concentration, resin, spacer, top, proportion, device, min, carbon, hour, value, exchanger, voltage, method, electrode, increase, percentage, density, oh, period, pretreatment, improvement, decrease, configuration, desalination, demineralization, invention, particle, inside, water, co, viewpoint, end, hydrogen, cathode, leakage, ph, ion, range, patent, room, exchange, removal, example, fig, equipment, chamber, component, partition, operation, cation, effect, field, member",chamber,"reduces, corresponding to, becomes, configured to, due to, exceeding, remove, thereby, while, as a result of, increases, disposed between, may, via, to prevent, obtained from, as a result, based on, increase, caused by, therefore, because",leakage,"bed, hand","chamber ➔ [to prevent] ➔ leakage (x3), chamber ➔ [while] ➔ leakage (x1), chamber ➔ [may] ➔ leakage (x1)","[PREVENT] ➔ chamber ➔ leakage (x3), [DESCRIBE] ➔ chamber ➔ leakage (x1), [DIVIDE] ➔ chamber ➔ leakage (x1)"
JP-7381252-B2,Portable water treatment equipment with turbidity unit and membrane unit,50,"disassemble, pump, depopulate, drain, scatter, set, remove, account, align, use, measure, fill, rotate, discharge, result, describe, pass, supply, maintain, rely, flow, adjust, instal, configure, make, omit, engage, base, limit, require, propose, slip, link, clean, contain, provide, inject, disinfect, house, clarify, dispose, suspend, reduce, occur, equip, pressurize, carry, operate, peak, reverse, backwashe, decline, show, treat, accord, branch, connect, increase, suppress, filter, perform, shape, mold, age, collect, change, exceed, take, incorporate, scrub, become, approach, cause, prevent, lift, pay, control, store, confirm, generate, send, submerge","hand, sequence, pump, process, half, drain, bacteria, way, opening, body, order, diaphragm, result, bolt, portion, reaction, product, disinfection, foot, addition, soil, frame, road, amount, municipality, mf, safety, size, supply, filtration, distribution, clarifier, position, deterioration, pac, outside, flow, condition, section, mountain, hypochlorite, consumption, metering, solid, population, vehicle, hypoxia, apparatus, blower, cost, measurement, document, chemical, growth, fixing, backwashing, packing, intake, purification, meter, liquid, time, module, degree, hose, membrane, clogging, tower, area, air, handle, treatment, point, applicant, polyethylene, part, disk, fiber, union, backwash, rate, strainer, datum, tank, pipe, quality, turbidity, attention, uf, mechanism, embodiment, thread, sand, valve, reservoir, village, unit, side, birthrate, check, resin, disaster, dirt, decline, matter, device, type, location, μm, gauge, flowmeter, chlorine, branch, engagement, method, capacity, pretreatment, backflow, scale, shape, drainage, filter, installation, invention, hypotite, flange, effort, line, inside, water, level, typhoon, injection, end, signal, facility, cleaning, compressor, leakage, joint, workability, earthquake, reason, panel, microorganism, range, clarification, impurity, patent, removal, source, operator, nation, japan, connection, storage, fig, example, blockage, equipment, container, operation, control, rotation, effect, generation, mean, step","water intake, branch line, gauge, clarifier, joint, strainer, flow meter, pump, sensor, valve, tank, drain, flange, drainage line, check valve, metering pump, reservoir, pressure gauge","pumped from, effect of, becomes, configured to, used to, becoming, due to, exceeding, remove, thereby, while, increases, requiring, may, via, to prevent, cannot be used, discharged to, as a result, based on, linked to, therefore, shape, causes","leakage, blockage, suspended solids","hand, water level, earthquakes, mountains",No sentence-level triplet found,No verb-component-failure triplet found
JP-7381802-B1,Normal pressure flotation treatment method using turbid water treatment equipment,9,"collect, scoop, remove, transport, use, separate, settle, stir, rotate, discharge, determine, undergo, move, treat, cause, relate, prevent, calculate, inject, understand, reduce, assemble, allow, perform, float, react, send, add","cylinder, water, mm, waste, pump, injection, volume, drain, flotation, facility, height, side, chemical, opening, test, mixer, stirrer, scum, construction, matter, device, factory, result, item, reaction, hour, plate, time, value, fishery, speed, pressure, crushing, air, business, jar, method, amount, capacity, treatment, piping, site, equipment, trailer, drug, crf, part, partition, truck, rate, flow, sec, invention, tank, pipe, plant, tester, floc","pump, valve, drain, tank, impeller","settles, as a result, prevented from, determine, due to, via, remove, important",crushing,"hand, sec","tank ➔ [determine] ➔ crushing (x2), pump ➔ [determine] ➔ crushing (x2), tank ➔ [remove] ➔ crushing (x1)","[ADD] ➔ tank ➔ crushing (x2), [ADD] ➔ pump ➔ crushing (x2), [ALLOW] ➔ tank ➔ crushing (x2)"
JP-7381808-B1,Electrolyzed water generator and control method for electrolyzed water generator,31,"obtain, update, seem, produce, change, include, derive, detect, base, set, vary, require, check, take, use, correspond, have, separate, measure, desire, discover, determine, find, follow, plot, depend, apply, realize, pass, increase, provide, stop, calculate, introduce, house, intermittent, comprise, decrease, flow, electrolyze, control, equip, generate, add","line, hand, region, water, electrolysis, bicarbonate, signal, case, cathode, formula, unit, cell, cost, document, account, iv, country, ph, inventor, device, diaphragm, ion, min, constant, order, type, meter, alog, slope, value, maintenance, plurality, time, patent, current, addition, equation, application, consideration, operator, method, definition, amount, sensor, phenomenon, example, anode, detection, chamber, supply, pair, rate, flow, power, invention, condition, axis, control, quality, generation, step, response","sensor, chamber, flow sensor","corresponding to, generated by, derived, therefore, while, because, based on, introduced into, may, increase, requiring, due to","add, electrolysis",hand,"chamber ➔ [based on] ➔ electrolysis (x3), chamber ➔ [introduced into] ➔ electrolysis (x2)","[APPLY] ➔ chamber ➔ electrolysis (x4), [BASE] ➔ chamber ➔ electrolysis (x3), [CONTROL] ➔ chamber ➔ electrolysis (x2)"
JP-7389284-B1,"Molded bodies, water purification filters, water purification cartridges, and water purifiers",2,"suppress, powder, shear, filter, increase, discharge, generate, activate, pose","hand, loss, fiber, pressure, water, port, length, mesh, machine, problem, discharge, tank, screen, shearing, wire, generation, carbon, μm",tank,"increase, due to",,hand,No sentence-level triplet found,No verb-component-failure triplet found
JP-7389526-B1,"Optimization method for water level gauge placement, method for predicting manhole water level, and manhole water level prediction system",76,"obtain, no, make, give, structure, include, reflect, predict, replace, select, process, base, acquire, notify, place, set, accumulate, localize, require, take, use, note, correspond, estimate, register, consider, measure, train, expect, show, become, receive, determine, result, view, guarantee, refer, input, regard, accord, output, learn, associate, cause, arrange, describe, explain, concern, relate, provide, increase, realize, prevent, classify, achieve, calculate, flood, mention, transmit, do, identify, comprise, install, utilize, perform, monitor, inputte, flow, belong, predetermine, instal, store, generate, overflow, optimize","hand, inundation, pump, process, determination, station, way, network, measure, order, problem, result, rainwater, addition, similarity, technique, amount, size, diagram, advance, placement, system, series, flow, learning, past, trademark, region, flooding, mm, acquisition, limit, meteorological, rain, cost, document, bluetooth, tree, damage, energy, composition, agency, clustering, organization, monitoring, regression, magnitude, meter, information, time, block, development, sewer, plurality, output, interface, area, data, number, flood, point, weather, server, direction, classifier, part, datum, pipe, object, wastewater, no, vector, embodiment, support, constraint, case, premise, processing, db, positioning, unit, side, top, hazard, construction, margin, item, view, input, type, fact, value, gauge, resident, training, prediction, machine, optimization, method, increase, period, ground, claim, target, decrease, installation, accuracy, invention, precipitation, particle, influence, model, correlation, level, water, change, rainfall, manhole, cluster, classification, ble, topography, communication, range, runoff, patent, incident, thunderstorm, year, figure, japan, analysis, example, fig, interval, equipment, arrangement, minute, term, flowchart, engine, mode, technology, step, map","water meter, manhole, gauge, pump","corresponding to, becomes, predict, determines, used to, results in, due to, thereby, increases, may, determine, monitoring, to prevent, isolated from, obtained from, limited in, based on, increase, predictive, caused by, generated by, therefore, causes, influence",ble,"rainwater, hand, runoff, flooding, inundation, urban, rainfall, precipitation, water level, flood, rain",No sentence-level triplet found,No verb-component-failure triplet found
JP-7391769-B2,"How to manage water treatment equipment, how to replace water treatment components, and how to estimate the remaining life of water treatment components",6,"set, take, immerse, use, separate, communicate, show, affect, treat, tend, apply, cause, increase, supply, clog, reduce, lead, float, interpose, predetermine, instal, activate, indicate","water, season, middle, pump, rainfall, winter, unit, snowfall, measure, device, reason, information, collection, time, module, load, membrane, frame, air, sludge, treatment, amount, example, capacity, diffuser, supply, rupture, occurrence, position, substance, decrease, timing, tank, pipe, outlet","diffuser, tank, pump","occurrence, because, leading to, increases, used to, due to, causes, affected",membrane rupture,rainfall,No sentence-level triplet found,No verb-component-failure triplet found
JP-7392373-B2,water treatment management system,8,"deviate, operate, give, include, predict, detect, base, sample, transport, exceed, measure, sense, manage, receive, determine, accord, analyze, consist, compare, provide, remain, supply, scale, monitor, predetermine, occur, control, equip, send, indicate, record","comparison, water, change, means, injection, pump, signal, center, determination, command, facility, transport, unit, chemical, test, function, malfunction, cpu, conductivity, device, temperature, result, information, time, abnormality, value, management, range, boiler, addition, dilution, factor, output, alarm, failure, analysis, treatment, sensor, amount, database, solution, transportation, equipment, detection, state, supply, occurrence, operation, operating, sampling, hardness, system, maintenance, datum, department, tank, quality, mean","sensor, tank, pump","occurrence, factor, based on, determine, monitoring, via, result in, due to",scaling,temperature,No sentence-level triplet found,No verb-component-failure triplet found
JP-7396654-B2,"Control device, control method, and control program for controlling vacuum evaporation fresh water generator",23,"obtain, operate, make, produce, include, detect, select, base, acquire, reach, exceed, take, use, bring, suck, function, evaporate, correspond, note, measure, show, become, discharge, determine, preheat, regard, heat, cool, accord, cause, describe, connect, pass, provide, prevent, calculate, achieve, introduce, mention, comprise, capture, adjust, predetermine, control, accomplish, equip, generate, carry, send, mean","program, seawater, cin, pump, separation, heating, order, discharge, portion, detector, vent, jacket, amount, supply, operating, bleed, adjustment, flow, section, computer, heater, th, salinity, hin, delivery, acquisition, salt, apparatus, limit, ejector, combustion, meter, information, degree, pressure, coefficient, state, condensation, rate, curve, pipe, object, tank, embodiment, tube, valve, header, unit, vacuum, concentration, casing, device, type, value, droplet, gauge, generator, method, density, evaporation, invention, influence, outlet, line, inside, water, means, end, brine, thermometer, status, port, contamination, inlet, temperature, ship, connection, example, gas, steam, chamber, operation, engine, condenser, control, generation, mean, step, summary","regulating valve, discharge line, discharge pipe, ejector, flow meter, pump, inlet, pressure gauge, valve, tank, chamber","corresponding to, generated by, becomes, via, based on, introduced into, may, produces, due to, exceeding, to prevent, influence, thereby",contamination,"salinity, temperature","flow meter ➔ [influence] ➔ contamination (x1), flow meter ➔ [due to] ➔ contamination (x1)","[DETECT] ➔ flow meter ➔ contamination (x1), [DETERMINE] ➔ flow meter ➔ contamination (x1)"
JP-7403892-B1,box water tanker,14,"need, open, operate, integrate, include, modify, guide, drip, limit, drive, close, take, use, correspond, fill, freeze, become, accord, build, pour, consist, handle, characterize, unitize, provide, prevent, fix, enable, lead, allow, shape, insert, exist, instal, control, equip, configure","need, region, water, embodiment, receiving, means, injection, worker, unitization, board, vehicle, compartment, unit, side, ceiling, fixing, rear, opening, cargo, function, port, luggage, measure, washing, door, nut, device, discharge, bolt, plate, location, conduit, drinking, example, work, piping, mouth, size, state, supply, tanker, claim, outside, shape, system, floor, box, control, tank, pipe, mean","conduit, inlet, tank","leads to, drives, because, shape, configured to, used to, may, becoming, due to, via, to prevent",freezing,,No sentence-level triplet found,No verb-component-failure triplet found
JP-7411044-B1,Functional water generation device and functional water generation method,12,"operate, define, produce, start, include, locate, detect, end, base, tap, check, improve, correspond, specify, become, determine, input, refer, dissolve, accord, touch, intersect, contain, provide, purify, supply, reduce, switch, electrolyze, predetermine, control, store, generate","surface, hand, distance, electrolysis, water, feeder, level, memory, locus, signal, hydrogen, command, succession, cartridge, unit, cell, relationship, concentration, oxygen, usability, ph, user, device, purification, input, information, time, channel, value, output, plurality, touch, threshold, generator, current, electrode, sensor, coordinate, stop, accordance, gas, detection, chamber, supply, direction, advance, operation, position, emergency, configuration, rate, system, flow, power, invention, axis, control, mode, section, generation","sensor, chamber","corresponding to, generated by, while, becomes, based on, determines, may, thereby","checking, electrolysis",hand,chamber ➔ [generated by] ➔ electrolysis (x1),"[CONTAIN] ➔ chamber ➔ electrolysis (x1), [DISSOLVE] ➔ chamber ➔ electrolysis (x1), [GENERATE] ➔ chamber ➔ electrolysis (x1)"
JP-7421414-B2,History management method and history management system for water treatment components,3,"check, give, lead, apply, read, pull, communicate, interpose, engrave, instal, show, carry, bolt, require, treat","water, middle, pump, confirmation, piece, identification, scanner, device, portion, information, collection, module, membrane, air, treatment, mounting, work, stage, equipment, diffuser, component, label, wastewater, pipe, tank, flange, outlet, member","diffuser, tank, flange, pump","via, leading to, carry, requires",checking,,No sentence-level triplet found,No verb-component-failure triplet found
JP-7422444-B1,Electrolyzed water generation device and electrolyzed water generation method,20,"obtain, change, secure, base, merge, set, drive, feed, use, measure, specify, match, accord, substitute, depend, describe, branch, connect, calculate, adopt, mention, dispose, reduce, comprise, perform, inputte, adjust, electrolyze, instal, control, equip, generate, configure, influence, add","electrolysis, water, pump, salt, valve, spout, acid, command, drive, formula, unit, cell, concentration, port, ppm, ph, dc, voltmeter, device, discharge, constant, meter, product, liquid, speed, value, range, addition, current, pressure, chlorine, equation, voltage, area, ammeter, storage, faraday, amount, calculation, example, stage, supply, symbol, efficiency, target, expression, configuration, rate, adjustment, law, flow, power, installation, datum, control, tank, pipe, rotation, quality, generation, step, material","flow control valve, flow meter, pump, valve, check valve, tank","while, therefore, drives, based on, configured to, may, via, influence","add, electrolysis",,"tank ➔ [based on] ➔ electrolysis (x2), check valve ➔ [via] ➔ electrolysis (x1), valve ➔ [via] ➔ electrolysis (x1)","[ADJUST] ➔ tank ➔ electrolysis (x2), [BASE] ➔ tank ➔ electrolysis (x2), [CALCULATE] ➔ tank ➔ electrolysis (x2)"
